,name,12_months,6_months,3_months,1_month,date
0,MX Linux,3377,3413,3840,3968,2021-11-22 10:30:21.520607
1,EndeavourOS,2355,3027,3595,3540,2021-11-22 10:30:21.520607
2,Manjaro,2344,2209,2246,2115,2021-11-22 10:30:21.520607
3,Mint,2064,1963,1978,2095,2021-11-22 10:30:21.520607
4,Pop!_OS,1734,1531,1523,1622,2021-11-22 10:30:21.520607
5,Ubuntu,1346,1319,1438,1285,2021-11-22 10:30:21.520607
6,Garuda,1011,1229,1280,1337,2021-11-22 10:30:21.520607
7,Debian,1289,1301,1282,1240,2021-11-22 10:30:21.520607
8,Fedora,997,975,1119,1302,2021-11-22 10:30:21.520607
9,elementary,1108,1073,980,934,2021-11-22 10:30:21.520607
10,openSUSE,831,766,723,749,2021-11-22 10:30:21.520607
11,Zorin,770,880,968,921,2021-11-22 10:30:21.520607
12,antiX,573,621,696,887,2021-11-22 10:30:21.520607
13,KDE neon,718,695,693,690,2021-11-22 10:30:21.520607
14,Solus,663,596,537,559,2021-11-22 10:30:21.520607
15,Lite,450,502,636,589,2021-11-22 10:30:21.520607
16,Slackware,460,503,578,678,2021-11-22 10:30:21.520607
17,Arch,553,477,475,418,2021-11-22 10:30:21.520607
18,PCLinuxOS,469,487,481,637,2021-11-22 10:30:21.520607
19,AlmaLinux,240,319,350,598,2021-11-22 10:30:21.520607
20,Puppy,465,387,392,399,2021-11-22 10:30:21.520607
21,Super Grub2,84,138,252,565,2021-11-22 10:30:21.520607
22,Artix,349,432,423,266,2021-11-22 10:30:21.520607
23,Kali,434,425,456,418,2021-11-22 10:30:21.520607
24,deepin,444,285,181,158,2021-11-22 10:30:21.520607
25,SparkyLinux,354,370,437,405,2021-11-22 10:30:21.520607
26,Rocky,215,351,347,503,2021-11-22 10:30:21.520607
27,ArcoLinux,412,402,425,461,2021-11-22 10:30:21.520607
28,EasyOS,291,270,369,489,2021-11-22 10:30:21.520607
29,FreeBSD,398,335,362,470,2021-11-22 10:30:21.520607
30,CentOS,401,367,365,448,2021-11-22 10:30:21.520607
31,Void,317,324,418,297,2021-11-22 10:30:21.520607
32,Mageia,396,281,250,245,2021-11-22 10:30:21.520607
33,Q4OS,386,360,387,337,2021-11-22 10:30:21.520607
34,Kubuntu,316,317,382,339,2021-11-22 10:30:21.520607
35,Linuxfx,360,247,271,208,2021-11-22 10:30:21.520607
36,Trisquel,154,171,223,411,2021-11-22 10:30:21.520607
37,Devuan,319,327,365,340,2021-11-22 10:30:21.520607
38,Alpine,342,300,307,315,2021-11-22 10:30:21.520607
39,Voyager,193,200,296,358,2021-11-22 10:30:21.520607
40,Lubuntu,328,309,360,326,2021-11-22 10:30:21.520607
41,Red Hat,195,192,233,340,2021-11-22 10:30:21.520607
42,Tails,311,292,280,246,2021-11-22 10:30:21.520607
43,Feren,208,228,316,215,2021-11-22 10:30:21.520607
44,Lakka,135,206,256,319,2021-11-22 10:30:21.520607
45,Peppermint,277,250,260,271,2021-11-22 10:30:21.520607
46,PureOS,251,257,291,256,2021-11-22 10:30:21.520607
47,RasPiOS,183,163,187,319,2021-11-22 10:30:21.520607
48,Xubuntu,273,245,289,244,2021-11-22 10:30:21.520607
49,Bluestar,268,258,249,221,2021-11-22 10:30:21.520607
50,GhostBSD,250,216,289,172,2021-11-22 10:30:21.520607
51,RebornOS,270,255,256,204,2021-11-22 10:30:21.520607
52,Elive,155,149,157,292,2021-11-22 10:30:21.520607
53,Ubuntu Kylin,266,93,92,43,2021-11-22 10:30:21.520607
54,Kodachi,220,234,270,267,2021-11-22 10:30:21.520607
55,Gecko,238,178,136,140,2021-11-22 10:30:21.520607
56,Mabox,204,234,201,137,2021-11-22 10:30:21.520607
57,Absolute,185,199,208,250,2021-11-22 10:30:21.520607
58,Parrot,229,192,196,195,2021-11-22 10:30:21.520607
59,NuTyX,100,109,126,247,2021-11-22 10:30:21.520607
60,Gentoo,225,212,225,237,2021-11-22 10:30:21.520607
61,Nitrux,213,227,243,238,2021-11-22 10:30:21.520607
62,KaOS,224,205,184,131,2021-11-22 10:30:21.520607
63,Android-x86,218,214,184,191,2021-11-22 10:30:21.520607
64,Ubuntu MATE,218,191,219,181,2021-11-22 10:30:21.520607
65,ExTiX,161,177,228,220,2021-11-22 10:30:21.520607
66,NixOS,195,206,171,182,2021-11-22 10:30:21.520607
67,FuguIta,92,117,103,226,2021-11-22 10:30:21.520607
68,ReactOS,187,177,188,226,2021-11-22 10:30:21.520607
69,Bodhi,210,186,184,189,2021-11-22 10:30:21.520607
70,Archman,152,141,201,194,2021-11-22 10:30:21.520607
71,Septor,170,144,132,212,2021-11-22 10:30:21.520607
72,Haiku,167,187,156,171,2021-11-22 10:30:21.520607
73,4MLinux,190,162,132,100,2021-11-22 10:30:21.520607
74,Qubes,185,158,185,201,2021-11-22 10:30:21.520607
75,Kaisen,93,186,130,130,2021-11-22 10:30:21.520607
76,Redcore,139,166,167,199,2021-11-22 10:30:21.520607
77,ROSA,134,131,145,195,2021-11-22 10:30:21.520607
78,JingOS,132,177,140,134,2021-11-22 10:30:21.520607
79,AV Linux,181,175,133,139,2021-11-22 10:30:21.520607
80,Emmabuntüs,168,166,182,119,2021-11-22 10:30:21.520607
81,KNOPPIX,180,155,161,171,2021-11-22 10:30:21.520607
82,Oracle,140,139,136,191,2021-11-22 10:30:21.520607
83,BunsenLabs,146,148,179,142,2021-11-22 10:30:21.520607
84,ALT,157,170,140,143,2021-11-22 10:30:21.520607
85,Ubuntu Budgie,145,141,177,146,2021-11-22 10:30:21.520607
86,EuroLinux,130,168,121,112,2021-11-22 10:30:21.520607
87,Archcraft,52,104,174,87,2021-11-22 10:30:21.520607
88,Endless,161,125,118,137,2021-11-22 10:30:21.520607
89,Ubuntu Studio,156,140,173,143,2021-11-22 10:30:21.520607
90,Tiny Core,161,135,144,157,2021-11-22 10:30:21.520607
91,OpenBSD,153,145,169,152,2021-11-22 10:30:21.520607
92,Clear,132,131,142,165,2021-11-22 10:30:21.520607
93,CloudReady,120,117,166,91,2021-11-22 10:30:21.520607
94,PrimTux,49,47,72,164,2021-11-22 10:30:21.520607
95,MakuluLinux,155,143,107,113,2021-11-22 10:30:21.520607
96,SteamOS,145,153,153,153,2021-11-22 10:30:21.520607
97,NomadBSD,155,102,98,95,2021-11-22 10:30:21.520607
98,OpenMandriva,155,130,107,113,2021-11-22 10:30:21.520607
99,Snal,136,138,154,88,2021-11-22 10:30:21.520607
100,DragonFly,154,134,150,132,2021-11-22 10:30:21.520607
101,VzLinux,72,144,81,101,2021-11-22 10:30:21.520607
102,MidnightBSD,89,94,148,51,2021-11-22 10:30:21.520607
103,Ultimate,150,99,91,55,2021-11-22 10:30:21.520607
104,Proxmox,108,124,105,138,2021-11-22 10:30:21.520607
105,UBports,125,124,137,134,2021-11-22 10:30:21.520607
106,Whonix,78,93,137,62,2021-11-22 10:30:21.520607
107,Netrunner,136,85,62,59,2021-11-22 10:30:21.520607
108,Freespire,76,101,64,130,2021-11-22 10:30:21.520607
109,Rescatux,40,46,64,128,2021-11-22 10:30:21.520607
110,Robolinux,107,116,127,124,2021-11-22 10:30:21.520607
111,3CX,53,57,72,127,2021-11-22 10:30:21.520607
112,SystemRescue,129,114,125,121,2021-11-22 10:30:21.520607
113,ClearOS,125,85,47,78,2021-11-22 10:30:21.520607
114,Venom,92,99,124,75,2021-11-22 10:30:21.520607
115,T2,124,112,103,99,2021-11-22 10:30:21.520607
116,Thinstation,53,74,122,36,2021-11-22 10:30:21.520607
117,openmamba,83,109,109,117,2021-11-22 10:30:21.520607
118,LibreELEC,85,86,100,113,2021-11-22 10:30:21.520607
119,BlackArch,119,84,69,65,2021-11-22 10:30:21.520607
120,Ubuntu DP,112,82,46,47,2021-11-22 10:30:21.520607
121,siduction,104,112,65,65,2021-11-22 10:30:21.520607
122,ArchBang,104,74,65,68,2021-11-22 10:30:21.520607
123,SmartOS,102,72,43,43,2021-11-22 10:30:21.520607
124,Porteus,89,99,73,77,2021-11-22 10:30:21.520607
125,LFS,73,73,102,55,2021-11-22 10:30:21.520607
126,GParted,94,65,51,50,2021-11-22 10:30:21.520607
127,Regata,49,64,92,72,2021-11-22 10:30:21.520607
128,Calculate,89,66,67,70,2021-11-22 10:30:21.520607
129,Pardus,67,73,90,45,2021-11-22 10:30:21.520607
130,Obarun,75,86,89,51,2021-11-22 10:30:21.520607
131,SliTaz,68,62,66,71,2021-11-22 10:30:21.520607
132,Guix System,88,49,52,58,2021-11-22 10:30:21.520607
133,Finnix,68,59,86,34,2021-11-22 10:30:21.520607
134,EasyNAS,68,85,45,45,2021-11-22 10:30:21.520607
135,Redo,69,57,86,31,2021-11-22 10:30:21.520607
136,Salient,71,78,68,70,2021-11-22 10:30:21.520607
137,Clonezilla,71,74,80,50,2021-11-22 10:30:21.520607
138,Anarchy,54,38,45,66,2021-11-22 10:30:21.520607
139,CRUX,81,45,46,45,2021-11-22 10:30:21.520607
140,Debian Edu,79,84,61,46,2021-11-22 10:30:21.520607
141,Porteus Kiosk,51,52,80,65,2021-11-22 10:30:21.520607
142,Parabola,62,62,64,66,2021-11-22 10:30:21.520607
143,AcademiX,56,55,75,42,2021-11-22 10:30:21.520607
144,Volumio,77,45,65,62,2021-11-22 10:30:21.520607
145,IPFire,76,77,72,38,2021-11-22 10:30:21.520607
146,SUSE,72,76,58,59,2021-11-22 10:30:21.520607
147,KolibriOS,59,55,58,63,2021-11-22 10:30:21.520607
148,Omarine,37,48,72,28,2021-11-22 10:30:21.520607
149,Funtoo,62,57,58,62,2021-11-22 10:30:21.520607
150,Parted Magic,76,44,46,47,2021-11-22 10:30:21.520607
151,Slax,63,58,59,62,2021-11-22 10:30:21.520607
152,ArchLabs,71,51,53,55,2021-11-22 10:30:21.520607
153,TrueNAS,52,48,49,59,2021-11-22 10:30:21.520607
154,OpenIndiana,71,42,44,46,2021-11-22 10:30:21.520607
155,OSGeoLive,45,63,25,28,2021-11-22 10:30:21.520607
156,OpenMediaVault,55,61,64,44,2021-11-22 10:30:21.520607
157,Rescuezilla,67,62,38,39,2021-11-22 10:30:21.520607
158,Zenwalk,67,48,51,54,2021-11-22 10:30:21.520607
159,BackBox,56,51,52,53,2021-11-22 10:30:21.520607
160,Grml,45,61,29,31,2021-11-22 10:30:21.520607
161,Live Raizo,67,49,41,25,2021-11-22 10:30:21.520607
162,NST,45,61,30,31,2021-11-22 10:30:21.520607
163,NetBSD,61,50,50,51,2021-11-22 10:30:21.520607
164,Univention,66,37,24,25,2021-11-22 10:30:21.520607
165,Scientific,48,45,47,50,2021-11-22 10:30:21.520607
166,Enso,63,32,32,33,2021-11-22 10:30:21.520607
167,Pisi,56,52,57,36,2021-11-22 10:30:21.520607
168,Bedrock,47,51,47,48,2021-11-22 10:30:21.520607
169,Hyperbola,46,44,47,48,2021-11-22 10:30:21.520607
170,LinuxConsole,46,44,45,48,2021-11-22 10:30:21.520607
171,OPNsense,60,54,35,35,2021-11-22 10:30:21.520607
172,Slackel,61,39,40,42,2021-11-22 10:30:21.520607
173,Berry,43,52,35,39,2021-11-22 10:30:21.520607
174,Star,52,41,43,46,2021-11-22 10:30:21.520607
175,Neptune,46,43,43,45,2021-11-22 10:30:21.520607
176,OviOS,40,51,27,28,2021-11-22 10:30:21.520607
177,SME Server,49,51,25,26,2021-11-22 10:30:21.520607
178,SolydXK,44,42,44,45,2021-11-22 10:30:21.520607
179,ArchStrike,43,42,44,44,2021-11-22 10:30:21.520607
180,Kwort,53,25,25,26,2021-11-22 10:30:21.520607
181,Solaris,46,42,44,44,2021-11-22 10:30:21.520607
182,PakOS,43,49,30,30,2021-11-22 10:30:21.520607
183,BigLinux,38,36,37,43,2021-11-22 10:30:21.520607
184,Pearl,39,38,39,43,2021-11-22 10:30:21.520607
185,batocera,51,37,39,41,2021-11-22 10:30:21.520607
186,XigmaNAS,50,34,34,35,2021-11-22 10:30:21.520607
187,Fatdog64,37,34,37,42,2021-11-22 10:30:21.520607
188,pfSense,50,37,39,40,2021-11-22 10:30:21.520607
189,Bicom,36,34,43,27,2021-11-22 10:30:21.520607
190,blackPanther,38,36,38,42,2021-11-22 10:30:21.520607
191,KANOTIX,40,38,39,41,2021-11-22 10:30:21.520607
192,Wifislax,40,37,40,41,2021-11-22 10:30:21.520607
193,Linspire,48,33,32,33,2021-11-22 10:30:21.520607
194,OSMC,47,44,27,29,2021-11-22 10:30:21.520607
195,CAINE,39,37,39,40,2021-11-22 10:30:21.520607
196,Dragora,37,36,38,40,2021-11-22 10:30:21.520607
197,Daphile,35,33,35,39,2021-11-22 10:30:21.520607
198,Leeenux,12,22,37,39,2021-11-22 10:30:21.520607
199,Navy,17,34,37,39,2021-11-22 10:30:21.520607
200,RDS,33,41,22,24,2021-11-22 10:30:21.520607
201,ClonOS,38,35,38,38,2021-11-22 10:30:21.520607
202,Pentoo,35,34,36,39,2021-11-22 10:30:21.520607
203,HardenedBSD,39,36,38,38,2021-11-22 10:30:21.520607
204,Vine,38,36,37,39,2021-11-22 10:30:21.520607
205,APODIO,39,35,37,38,2021-11-22 10:30:21.520607
206,Zentyal,44,29,30,31,2021-11-22 10:30:21.520607
207,Exe,38,35,37,38,2021-11-22 10:30:21.520607
208,Exherbo,37,35,36,38,2021-11-22 10:30:21.520607
209,Plamo,43,31,32,32,2021-11-22 10:30:21.520607
210,Diamond,42,29,30,31,2021-11-22 10:30:21.520607
211,Runtu,38,35,37,38,2021-11-22 10:30:21.520607
212,NethServer,41,24,25,26,2021-11-22 10:30:21.520607
213,Ufficio Zero,36,34,36,38,2021-11-22 10:30:21.520607
214,Swift,41,27,29,28,2021-11-22 10:30:21.520607
215,RISC,37,33,35,37,2021-11-22 10:30:21.520607
216,SuperGamer,35,34,35,37,2021-11-22 10:30:21.520607
217,DietPi,34,31,33,36,2021-11-22 10:30:21.520607
218,KISS,27,29,36,35,2021-11-22 10:30:21.520607
219,Miracle,6,12,24,36,2021-11-22 10:30:21.520607
220,Photon,34,34,35,36,2021-11-22 10:30:21.520607
221,CAELinux,35,31,33,35,2021-11-22 10:30:21.520607
222,GoboLinux,36,34,35,34,2021-11-22 10:30:21.520607
223,RancherOS,39,32,34,34,2021-11-22 10:30:21.520607
224,LliureX,30,30,33,35,2021-11-22 10:30:21.520607
225,LuninuX,33,32,34,35,2021-11-22 10:30:21.520607
226,VyOS,35,32,33,35,2021-11-22 10:30:21.520607
227,Springdale,38,30,31,32,2021-11-22 10:30:21.520607
228,BOSS,34,32,33,34,2021-11-22 10:30:21.520607
229,LockBox,6,13,27,34,2021-11-22 10:30:21.520607
230,MAX,11,20,31,34,2021-11-22 10:30:21.520607
231,Recalbox,30,29,31,34,2021-11-22 10:30:21.520607
232,Simplicity,36,31,31,34,2021-11-22 10:30:21.520607
233,FWUL,15,30,32,31,2021-11-22 10:30:21.520607
234,Source Mage,31,30,32,34,2021-11-22 10:30:21.520607
235,MLL,32,30,31,33,2021-11-22 10:30:21.520607
236,UBOS,32,30,32,33,2021-11-22 10:30:21.520607
237,RebeccaBlackOS,32,31,31,33,2021-11-22 10:30:21.520607
238,Refracta,29,28,30,33,2021-11-22 10:30:21.520607
239,Plop,31,29,30,32,2021-11-22 10:30:21.520607
240,Shark,31,29,29,32,2021-11-22 10:30:21.520607
241,BlueOnyx,29,27,28,31,2021-11-22 10:30:21.520607
242,Sophos,30,28,30,30,2021-11-22 10:30:21.520607
243,BSDRP,30,28,29,29,2021-11-22 10:30:21.520607
244,FreedomBox,28,26,28,30,2021-11-22 10:30:21.520607
245,Endian,30,28,29,29,2021-11-22 10:30:21.520607
246,YunoHost,27,25,27,30,2021-11-22 10:30:21.520607
247,Canaima,27,26,27,29,2021-11-22 10:30:21.520607
248,ForLEx,28,27,28,29,2021-11-22 10:30:21.520607
249,Karoshi,29,25,26,27,2021-11-22 10:30:21.520607
250,Baruwa,26,25,27,28,2021-11-22 10:30:21.520607
251,Hanthana,27,26,27,29,2021-11-22 10:30:21.520607
252,NexentaStor,26,25,26,29,2021-11-22 10:30:21.520607
253,Rocks Cluster,29,26,27,28,2021-11-22 10:30:21.520607
254,Elastix,28,26,27,28,2021-11-22 10:30:21.520607
255,Greenie,27,26,27,28,2021-11-22 10:30:21.520607
256,RSS,25,24,26,29,2021-11-22 10:30:21.520607
257,ToOpPy,26,25,26,29,2021-11-22 10:30:21.520607
258,Untangle,28,26,27,27,2021-11-22 10:30:21.520607
259,FreePBX,25,24,26,28,2021-11-22 10:30:21.520607
260,OLPC,26,25,26,28,2021-11-22 10:30:21.520607
261,Uruk,27,25,27,28,2021-11-22 10:30:21.520607
262,HamoniKR,26,25,26,27,2021-11-22 10:30:21.520607
263,PLD,26,25,26,28,2021-11-22 10:30:21.520607
264,TurnKey,26,24,25,28,2021-11-22 10:30:21.520607
265,REMnux,26,25,26,27,2021-11-22 10:30:21.520607
266,paldo,26,25,26,28,2021-11-22 10:30:21.520607
267,SELKS,26,24,26,27,2021-11-22 10:30:21.520607
268,Zevenet,26,24,26,27,2021-11-22 10:30:21.520607
269,Securepoint,25,24,25,27,2021-11-22 10:30:21.520607
270,Smoothwall,25,23,24,26,2021-11-22 10:30:21.520607
271,Webconverger,25,23,24,25,2021-11-22 10:30:21.520607
272,OB2D,23,21,22,24,2021-11-22 10:30:21.520607
273,Omoikane,23,22,24,23,2021-11-22 10:30:21.520607
274,DRBL,22,21,23,24,2021-11-22 10:30:21.520607
275,MX Linux,3379,3305,3756,4171,2021-11-01 10:30:21.777915
276,Manjaro,2352,2222,2309,2263,2021-11-01 10:30:21.777915
277,EndeavourOS,2209,2863,3502,3615,2021-11-01 10:30:21.777915
278,Mint,2057,1930,1895,2031,2021-11-01 10:30:21.777915
279,Pop!_OS,1773,1523,1463,1599,2021-11-01 10:30:21.777915
280,Ubuntu,1348,1310,1443,1471,2021-11-01 10:30:21.777915
281,Debian,1286,1285,1444,1319,2021-11-01 10:30:21.777915
282,elementary,1118,1120,1153,951,2021-11-01 10:30:21.777915
283,Garuda,951,1188,1268,1315,2021-11-01 10:30:21.777915
284,Fedora,975,932,982,1122,2021-11-01 10:30:21.777915
285,Zorin,753,851,1042,924,2021-11-01 10:30:21.777915
286,openSUSE,828,783,750,729,2021-11-01 10:30:21.777915
287,Void,319,327,417,853,2021-11-01 10:30:21.777915
288,KDE neon,721,703,709,751,2021-11-01 10:30:21.777915
289,Solus,675,598,533,540,2021-11-01 10:30:21.777915
290,Lite,451,470,602,540,2021-11-01 10:30:21.777915
291,Arch,565,499,469,623,2021-11-01 10:30:21.777915
292,antiX,551,578,598,690,2021-11-01 10:30:21.777915
293,Slackware,434,458,562,518,2021-11-01 10:30:21.777915
294,Puppy,470,395,390,395,2021-11-01 10:30:21.777915
295,Artix,346,434,539,281,2021-11-01 10:30:21.777915
296,Feren,224,223,300,620,2021-11-01 10:30:21.777915
297,deepin,465,336,207,176,2021-11-01 10:30:21.777915
298,PCLinuxOS,450,442,446,421,2021-11-01 10:30:21.777915
299,EasyOS,298,263,343,534,2021-11-01 10:30:21.777915
300,Kali,442,419,443,411,2021-11-01 10:30:21.777915
301,ArcoLinux,425,395,419,368,2021-11-01 10:30:21.777915
302,SparkyLinux,351,363,441,374,2021-11-01 10:30:21.777915
303,Kubuntu,315,313,369,511,2021-11-01 10:30:21.777915
304,Devuan,313,318,354,503,2021-11-01 10:30:21.777915
305,CentOS,413,349,324,331,2021-11-01 10:30:21.777915
306,Lubuntu,329,308,349,434,2021-11-01 10:30:21.777915
307,Mageia,404,297,258,244,2021-11-01 10:30:21.777915
308,Q4OS,382,352,369,407,2021-11-01 10:30:21.777915
309,FreeBSD,395,323,335,373,2021-11-01 10:30:21.777915
310,Rocky,182,351,265,317,2021-11-01 10:30:21.777915
311,Linuxfx,382,260,266,224,2021-11-01 10:30:21.777915
312,PureOS,249,253,284,403,2021-11-01 10:30:21.777915
313,Alpine,335,293,317,239,2021-11-01 10:30:21.777915
314,Xubuntu,275,248,284,360,2021-11-01 10:30:21.777915
315,Tails,315,301,296,277,2021-11-01 10:30:21.777915
316,Trisquel,150,161,199,355,2021-11-01 10:30:21.777915
317,Redcore,134,157,152,344,2021-11-01 10:30:21.777915
318,GhostBSD,251,234,284,267,2021-11-01 10:30:21.777915
319,Ubuntu Kylin,304,106,99,101,2021-11-01 10:30:21.777915
320,RebornOS,262,278,260,323,2021-11-01 10:30:21.777915
321,Super Grub2,52,74,124,326,2021-11-01 10:30:21.777915
322,AlmaLinux,197,276,232,204,2021-11-01 10:30:21.777915
323,Peppermint,280,249,251,253,2021-11-01 10:30:21.777915
324,Bluestar,271,261,267,211,2021-11-01 10:30:21.777915
325,Nitrux,214,247,265,254,2021-11-01 10:30:21.777915
326,Mabox,196,254,229,236,2021-11-01 10:30:21.777915
327,ROSA,133,127,136,264,2021-11-01 10:30:21.777915
328,Ubuntu MATE,223,192,214,258,2021-11-01 10:30:21.777915
329,Gecko,239,215,138,135,2021-11-01 10:30:21.777915
330,Parrot,232,194,196,196,2021-11-01 10:30:21.777915
331,Kodachi,216,215,238,185,2021-11-01 10:30:21.777915
332,KaOS,226,213,227,241,2021-11-01 10:30:21.777915
333,Bodhi,210,240,183,185,2021-11-01 10:30:21.777915
334,Gentoo,225,209,217,229,2021-11-01 10:30:21.777915
335,Ubuntu Budgie,145,140,173,243,2021-11-01 10:30:21.777915
336,Absolute,201,197,213,241,2021-11-01 10:30:21.777915
337,Android-x86,220,213,182,180,2021-11-01 10:30:21.777915
338,Voyager,198,166,216,124,2021-11-01 10:30:21.777915
339,NuTyX,103,105,119,236,2021-11-01 10:30:21.777915
340,Snal,138,138,198,231,2021-11-01 10:30:21.777915
341,NixOS,202,204,166,176,2021-11-01 10:30:21.777915
342,OpenBSD,152,154,165,229,2021-11-01 10:30:21.777915
343,Lakka,114,177,197,112,2021-11-01 10:30:21.777915
344,Ubuntu Studio,157,140,169,224,2021-11-01 10:30:21.777915
345,Haiku,167,186,173,155,2021-11-01 10:30:21.777915
346,ExTiX,153,177,192,183,2021-11-01 10:30:21.777915
347,ReactOS,190,176,183,217,2021-11-01 10:30:21.777915
348,4MLinux,191,163,186,110,2021-11-01 10:30:21.777915
349,Elive,149,160,181,216,2021-11-01 10:30:21.777915
350,Qubes,188,148,160,213,2021-11-01 10:30:21.777915
351,Emmabuntüs,184,165,178,136,2021-11-01 10:30:21.777915
352,AV Linux,179,173,129,134,2021-11-01 10:30:21.777915
353,CloudReady,122,127,154,205,2021-11-01 10:30:21.777915
354,Red Hat,182,169,170,204,2021-11-01 10:30:21.777915
355,JingOS,125,172,142,130,2021-11-01 10:30:21.777915
356,Kaisen,86,171,162,127,2021-11-01 10:30:21.777915
357,KNOPPIX,180,154,156,164,2021-11-01 10:30:21.777915
358,ALT,157,169,136,140,2021-11-01 10:30:21.777915
359,BunsenLabs,147,146,177,141,2021-11-01 10:30:21.777915
360,Redo,73,57,85,202,2021-11-01 10:30:21.777915
361,Archcraft,47,94,173,174,2021-11-01 10:30:21.777915
362,Archman,162,135,161,201,2021-11-01 10:30:21.777915
363,Endless,179,123,107,114,2021-11-01 10:30:21.777915
364,DragonFly,154,160,149,197,2021-11-01 10:30:21.777915
365,RasPiOS,169,131,120,123,2021-11-01 10:30:21.777915
366,Venom,89,120,123,197,2021-11-01 10:30:21.777915
367,Ultimate,163,107,102,92,2021-11-01 10:30:21.777915
368,Tiny Core,161,133,138,143,2021-11-01 10:30:21.777915
369,Septor,160,126,120,90,2021-11-01 10:30:21.777915
370,EuroLinux,126,160,141,114,2021-11-01 10:30:21.777915
371,Regata,46,63,89,183,2021-11-01 10:30:21.777915
372,Porteus Kiosk,50,51,77,179,2021-11-01 10:30:21.777915
373,MakuluLinux,156,146,107,118,2021-11-01 10:30:21.777915
374,NomadBSD,156,139,100,98,2021-11-01 10:30:21.777915
375,SteamOS,144,150,155,157,2021-11-01 10:30:21.777915
376,OpenMandriva,155,128,102,105,2021-11-01 10:30:21.777915
377,SystemRescue,125,122,116,173,2021-11-01 10:30:21.777915
378,Clear,132,129,140,164,2021-11-01 10:30:21.777915
379,MidnightBSD,107,94,146,121,2021-11-01 10:30:21.777915
380,Robolinux,106,124,112,164,2021-11-01 10:30:21.777915
381,AcademiX,56,55,73,150,2021-11-01 10:30:21.777915
382,Oracle,141,127,109,107,2021-11-01 10:30:21.777915
383,VzLinux,66,133,65,123,2021-11-01 10:30:21.777915
384,Netrunner,140,92,74,55,2021-11-01 10:30:21.777915
385,Whonix,78,93,134,61,2021-11-01 10:30:21.777915
386,Volumio,86,46,62,137,2021-11-01 10:30:21.777915
387,ArchBang,134,79,63,66,2021-11-01 10:30:21.777915
388,UBports,133,129,116,100,2021-11-01 10:30:21.777915
389,Thinstation,53,73,120,135,2021-11-01 10:30:21.777915
390,ClearOS,130,93,51,71,2021-11-01 10:30:21.777915
391,T2,120,126,103,107,2021-11-01 10:30:21.777915
392,BlackArch,123,90,95,68,2021-11-01 10:30:21.777915
393,Debian Edu,79,84,109,78,2021-11-01 10:30:21.777915
394,Proxmox,108,112,86,83,2021-11-01 10:30:21.777915
395,Ubuntu DP,118,91,68,44,2021-11-01 10:30:21.777915
396,siduction,101,112,104,64,2021-11-01 10:30:21.777915
397,Pardus,74,72,108,46,2021-11-01 10:30:21.777915
398,FuguIta,78,109,77,42,2021-11-01 10:30:21.777915
399,IPFire,82,82,90,108,2021-11-01 10:30:21.777915
400,SmartOS,107,83,50,41,2021-11-01 10:30:21.777915
401,Freespire,68,104,87,31,2021-11-01 10:30:21.777915
402,Salient,67,104,68,68,2021-11-01 10:30:21.777915
403,Porteus,90,98,71,75,2021-11-01 10:30:21.777915
404,LFS,73,73,101,52,2021-11-01 10:30:21.777915
405,openmamba,76,95,82,103,2021-11-01 10:30:21.777915
406,GParted,97,85,54,51,2021-11-01 10:30:21.777915
407,CRUX,89,47,47,48,2021-11-01 10:30:21.777915
408,Calculate,89,80,66,70,2021-11-01 10:30:21.777915
409,Obarun,78,85,91,52,2021-11-01 10:30:21.777915
410,OpenIndiana,89,87,43,45,2021-11-01 10:30:21.777915
411,Guix System,87,80,49,51,2021-11-01 10:30:21.777915
412,Finnix,68,59,86,34,2021-11-01 10:30:21.777915
413,LibreELEC,85,82,76,39,2021-11-01 10:30:21.777915
414,EasyNAS,68,85,65,44,2021-11-01 10:30:21.777915
415,ArchLabs,83,64,52,54,2021-11-01 10:30:21.777915
416,Clonezilla,77,74,77,48,2021-11-01 10:30:21.777915
417,Anarchy,55,38,32,67,2021-11-01 10:30:21.777915
418,SliTaz,68,61,63,67,2021-11-01 10:30:21.777915
419,Parabola,62,61,65,62,2021-11-01 10:30:21.777915
420,Parted Magic,76,54,45,45,2021-11-01 10:30:21.777915
421,Omarine,37,47,71,25,2021-11-01 10:30:21.777915
422,Funtoo,62,56,56,60,2021-11-01 10:30:21.777915
423,SUSE,72,77,57,58,2021-11-01 10:30:21.777915
424,Pisi,56,53,70,36,2021-11-01 10:30:21.777915
425,KolibriOS,59,55,56,59,2021-11-01 10:30:21.777915
426,Slax,63,58,58,59,2021-11-01 10:30:21.777915
427,LockBox,4,9,19,58,2021-11-01 10:30:21.777915
428,Enso,71,33,32,32,2021-11-01 10:30:21.777915
429,NetBSD,61,66,49,49,2021-11-01 10:30:21.777915
430,BackBox,57,51,52,53,2021-11-01 10:30:21.777915
431,OSGeoLive,45,65,24,25,2021-11-01 10:30:21.777915
432,OSMC,48,43,63,27,2021-11-01 10:30:21.777915
433,Zenwalk,68,48,50,51,2021-11-01 10:30:21.777915
434,Live Raizo,67,49,41,24,2021-11-01 10:30:21.777915
435,Rescuezilla,67,62,36,39,2021-11-01 10:30:21.777915
436,OpenMediaVault,55,61,62,42,2021-11-01 10:30:21.777915
437,Navy,15,30,61,34,2021-11-01 10:30:21.777915
